pair,count
"('even', 'full')",6
"('energy', 'full')",4
"('could', 'full')",6
"('dont', 'full')",4
"('full', 'take')",7
"('distance', 'full')",3
"('full', 'like')",12
"('full', 'stop')",4
"('full', 'relative')",3
"('etc', 'full')",5
"('always', 'full')",6
"('earth', 'full')",5
"('full', 'light')",7
"('full', 'longer')",3
"('full', 'get')",5
"('full', 'thought')",3
"('core', 'full')",3
"('full', 'thats')",4
"('full', 'see')",4
"('full', 'maybe')",5
"('black', 'full')",12
"('cant', 'full')",4
"('away', 'full')",3
"('force', 'full')",3
"('full', 'make')",5
"('full', 'slow')",3
"('full', 'physic')",4
"('direction', 'full')",3
"('full', 'mass')",6
"('everything', 'full')",5
"('full', 'space')",7
"('full', 'time')",8
"('full', 'yet')",3
"('full', 'sense')",4
"('due', 'full')",3
"('back', 'full')",4
"('full', 'mind')",5
"('full', 'put')",3
"('full', 'reach')",3
"('full', 'think')",3
"('full', 'thing')",8
"('ever', 'full')",4
"('full', 'travel')",3
"('full', 'know')",5
"('full', 'look')",3
"('end', 'full')",5
"('full', 'would')",8
"('faster', 'full')",3
"('full', 'gravity')",7
"('full', 'may')",5
"('pull', 'still')",4
"('ive', 'still')",7
"('inside', 'still')",8
"('come', 'still')",9
"('something', 'still')",10
"('falling', 'still')",3
"('doesnt', 'still')",9
"('speed', 'still')",5
"('still', 'try')",6
"('magnetic', 'still')",3
"('split', 'still')",3
"('normal', 'still')",3
"('hole', 'still')",38
"('still', 'within')",3
"('point', 'still')",11
"('smaller', 'still')",3
"('far', 'still')",5
"('go', 'still')",7
"('every', 'still')",7
"('particle', 'still')",13
"('even', 'still')",15
"('energy', 'still')",19
"('explained', 'still')",3
"('could', 'still')",12
"('dont', 'still')",18
"('still', 'take')",7
"('like', 'still')",20
"('horizon', 'still')",6
"('field', 'still')",5
"('still', 'stop')",6
"('describe', 'still')",3
"('perhaps', 'still')",3
"('hawking', 'still')",7
"('length', 'still')",3
"('etc', 'still')",6
"('always', 'still')",4
"('earth', 'still')",6
"('light', 'still')",12
"('longer', 'still')",3
"('get', 'still')",17
"('quite', 'still')",3
"('start', 'still')",3
"('center', 'still')",6
"('still', 'thought')",3
"('hope', 'still')",3
"('core', 'still')",3
"('still', 'thats')",8
"('separated', 'still')",3
"('see', 'still')",12
"('maybe', 'still')",4
"('black', 'still')",40
"('cant', 'still')",7
"('away', 'still')",6
"('force', 'still')",6
"('make', 'still')",7
"('physic', 'still')",5
"('decay', 'still')",3
"('direction', 'still')",3
"('mass', 'still')",13
"('fall', 'still')",6
"('flow', 'still')",3
"('everything', 'still')",9
"('radiation', 'still')",9
"('space', 'still')",21
"('still', 'time')",21
"('still', 'yet')",10
"('sense', 'still')",5
"('due', 'still')",3
"('back', 'still')",9
"('still', 'well')",6
"('mind', 'still')",3
"('put', 'still')",6
"('said', 'still')",3
"('reach', 'still')",4
"('still', 'think')",10
"('probably', 'still')",3
"('still', 'thing')",12
"('ever', 'still')",5
"('still', 'travel')",4
"('know', 'still')",17
"('look', 'still')",6
"('end', 'still')",6
"('still', 'would')",17
"('gravity', 'still')",15
"('got', 'still')",4
"('high', 'still')",6
"('meaning', 'still')",4
"('need', 'still')",5
"('still', 'wave')",4
"('may', 'still')",4
"('still', 'youre')",4
"('brain', 'still')",6
"('come', 'pull')",5
"('pull', 'something')",4
"('falling', 'pull')",3
"('doesnt', 'pull')",3
"('pull', 'speed')",7
"('body', 'pull')",3
"('pull', 'towards')",3
"('hole', 'pull')",25
"('point', 'pull')",4
"('go', 'pull')",4
"('power', 'pull')",3
"('pull', 'sucked')",5
"('particle', 'pull')",8
"('even', 'pull')",3
"('energy', 'pull')",3
"('could', 'pull')",7
"('dont', 'pull')",6
"('pull', 'take')",3
"('like', 'pull')",7
"('horizon', 'pull')",9
"('pull', 'stop')",4
"('hawking', 'pull')",5
"('going', 'pull')",3
"('length', 'pull')",3
"('fabric', 'pull')",4
"('pull', 'relative')",3
"('earth', 'pull')",4
"('light', 'pull')",12
"('longer', 'pull')",3
"('get', 'pull')",5
"('center', 'pull')",6
"('pull', 'thought')",3
"('core', 'pull')",3
"('pull', 'see')",4
"('apart', 'pull')",4
"('black', 'pull')",25
"('cant', 'pull')",7
"('force', 'pull')",6
"('make', 'pull')",3
"('physic', 'pull')",4
"('mass', 'pull')",9
"('fall', 'pull')",3
"('everything', 'pull')",7
"('pull', 'radiation')",7
"('pull', 'space')",13
"('pull', 'time')",14
"('pull', 'yet')",3
"('pull', 'sense')",3
"('back', 'pull')",4
"('pull', 'well')",3
"('pull', 'put')",3
"('pull', 'reach')",4
"('pull', 'thing')",4
"('ever', 'pull')",3
"('know', 'pull')",4
