pair,count
"('like', 'understood')",4
"('explanation', 'im')",3
"('lot', 'much')",4
"('im', 'lot')",4
"('lot', 'video')",3
"('like', 'lot')",7
"('im', 'much')",6
"('like', 'much')",4
"('helped', 'im')",3
"('im', 'thank')",6
"('im', 'video')",7
"('even', 'period')",3
"('dont', 'everything')",3
"('everything', 'something')",3
"('everything', 'people')",3
"('everything', 'happens')",3
"('everything', 'movie')",3
"('everything', 'u')",3
"('even', 'year')",8
"('even', 'mostly')",4
"('dont', 'even')",6
"('even', 'something')",5
"('even', 'well')",4
"('even', 'want')",3
"('even', 'good')",3
"('even', 'system')",7
"('even', 'remember')",4
"('even', 'u')",4
"('human', 'year')",8
"('human', 'mostly')",4
"('human', 'idea')",3
"('dont', 'human')",4
"('human', 'thought')",3
"('human', 'something')",5
"('human', 'well')",3
"('human', 'people')",6
"('human', 'last')",3
"('happens', 'human')",3
"('human', 'want')",3
"('already', 'human')",5
"('good', 'human')",4
"('crispr', 'human')",3
"('human', 'individual')",3
"('human', 'remember')",3
"('human', 'population')",3
"('human', 'u')",6
"('function', 'good')",3
"('china', 'year')",3
"('read', 'year')",3
"('idea', 'year')",3
"('dont', 'year')",6
"('well', 'year')",4
"('process', 'year')",4
"('people', 'year')",7
"('last', 'year')",8
"('level', 'year')",4
"('happens', 'year')",3
"('want', 'year')",6
"('next', 'year')",3
"('already', 'year')",3
"('body', 'year')",5
"('good', 'year')",5
"('system', 'year')",3
"('individual', 'year')",4
"('remember', 'year')",4
"('control', 'year')",3
"('population', 'year')",3
"('u', 'year')",8
"('mostly', 'system')",4
"('bible', 'want')",3
"('read', 'something')",4
"('read', 'system')",5
"('dont', 'idea')",4
"('idea', 'people')",5
"('idea', 'want')",3
"('dont', 'thought')",4
"('dont', 'something')",8
"('dont', 'well')",6
"('dont', 'people')",8
"('dont', 'last')",3
"('dont', 'want')",9
"('already', 'dont')",7
"('body', 'dont')",3
"('dont', 'good')",5
"('dont', 'system')",3
"('control', 'dont')",3
"('ask', 'dont')",4
"('dont', 'u')",6
"('control', 'thought')",3
"('something', 'well')",5
"('people', 'something')",4
"('something', 'want')",7
"('already', 'something')",3
"('good', 'something')",3
"('something', 'system')",3
"('something', 'u')",7
"('people', 'well')",3
"('happens', 'well')",3
"('already', 'well')",3
"('body', 'well')",4
"('good', 'well')",3
"('ask', 'well')",3
"('u', 'well')",5
"('already', 'process')",3
"('people', 'scale')",4
"('individual', 'scale')",3
"('population', 'scale')",3
"('people', 'want')",7
"('body', 'people')",3
"('good', 'people')",3
"('people', 'system')",3
"('individual', 'people')",3
"('people', 'population')",4
"('ask', 'people')",3
"('people', 'u')",5
"('last', 'u')",3
"('happens', 'u')",5
"('good', 'want')",3
"('population', 'want')",4
"('u', 'want')",4
"('already', 'system')",3
"('already', 'u')",3
"('system', 'u')",4
"('individual', 'population')",3
"('remember', 'u')",3
"('control', 'u')",3
"('better', 'say')",5
"('another', 'better')",4
"('better', 'one')",8
"('better', 'within')",3
"('better', 'really')",3
"('form', 'human')",4
"('human', 'say')",6
"('another', 'human')",3
"('human', 'line')",3
"('human', 'really')",3
"('term', 'within')",4
"('form', 'two')",4
"('actually', 'two')",3
"('one', 'two')",8
"('call', 'two')",3
"('really', 'two')",3
"('especially', 'really')",3
"('becomes', 'form')",3
"('becomes', 'within')",3
"('actually', 'form')",3
"('form', 'one')",8
"('call', 'form')",3
"('form', 'within')",5
"('another', 'say')",4
"('one', 'say')",6
"('actually', 'already')",3
"('actually', 'another')",3
"('actually', 'one')",5
"('actually', 'call')",3
"('already', 'another')",3
"('already', 'one')",6
"('another', 'one')",6
"('another', 'really')",3
"('line', 'one')",4
"('call', 'one')",4
"('individual', 'one')",3
"('one', 'within')",4
"('one', 'really')",10
"('completely', 'within')",3
"('individual', 'really')",3
"('kind', 'understood')",3
"('great', 'time')",3
"('great', 'understand')",3
"('great', 'really')",7
"('never', 'time')",7
"('never', 'something')",5
"('need', 'never')",4
"('read', 'time')",3
"('time', 'understand')",6
"('paper', 'time')",3
"('something', 'time')",12
"('know', 'time')",8
"('feel', 'time')",7
"('actually', 'time')",5
"('couldnt', 'time')",3
"('system', 'time')",7
"('need', 'time')",9
"('im', 'time')",4
"('really', 'time')",7
"('kind', 'time')",4
"('thank', 'understand')",3
"('know', 'thank')",3
"('feel', 'read')",5
"('read', 'really')",3
"('something', 'understand')",3
"('know', 'understand')",7
"('im', 'understand')",3
"('really', 'understand')",4
"('paper', 'system')",4
"('know', 'something')",10
"('feel', 'something')",5
"('actually', 'something')",3
"('couldnt', 'something')",3
"('need', 'something')",6
"('im', 'something')",5
"('really', 'something')",4
"('kind', 'something')",3
"('know', 'need')",11
"('im', 'know')",8
"('kind', 'know')",6
"('feel', 'im')",4
"('feel', 'kind')",4
"('couldnt', 'need')",3
"('couldnt', 'kind')",3
"('need', 'system')",3
"('im', 'system')",3
"('im', 'need')",5
"('kind', 'need')",4
"('im', 'really')",6
"('kind', 'really')",4
"('level', 'video')",3
"('dont', 'high')",3
"('high', 'school')",3
"('dont', 'see')",4
"('dont', 'right')",7
"('either', 'right')",5
"('today', 'video')",3
"('make', 'today')",4
"('going', 'today')",4
"('actually', 'model')",3
"('model', 'system')",4
"('using', 'video')",3
"('make', 'video')",6
"('going', 'video')",3
"('paper', 'using')",3
"('going', 'went')",3
"('make', 'using')",7
"('going', 'system')",3
