pair,count
"('awesome', 'thanks')",8
"('explanation', 'one')",5
"('explanation', 'question')",3
"('bozeman', 'great')",3
"('bozeman', 'thanks')",3
"('great', 'one')",9
"('one', 'thanks')",5
"('crisprcas', 'one')",4
"('thanks', 'want')",3
"('cell', 'great')",5
"('great', 'question')",3
"('disease', 'great')",3
"('crisprcas', 'great')",3
"('cell', 'genetic')",5
"('cell', 'crisprcas')",6
"('disease', 'genetic')",5
"('question', 'thanks')",3
"('crisprcas', 'question')",3
"('crisprcas', 'thanks')",5
"('short', 'time')",3
"('short', 'thanks')",3
"('thanks', 'time')",7
"('fantastic', 'thanks')",4
"('understood', 'watched')",3
"('finally', 'understood')",6
"('understood', 'video')",8
"('thank', 'understood')",10
"('found', 'video')",10
"('found', 'thank')",9
"('confused', 'still')",3
"('confused', 'video')",3
"('finally', 'still')",3
"('finally', 'video')",8
"('finally', 'thank')",10
"('gene', 'host')",4
"('host', 'said')",3
"('gene', 'rna')",4
"('rna', 'said')",3
"('inserting', 'rna')",3
"('dna', 'said')",4
"('dna', 'inserting')",4
"('much', 'well')",6
"('much', 'really')",15
"('helpful', 'much')",26
"('really', 'well')",8
"('thank', 'well')",9
"('helpful', 'well')",4
"('helpful', 'really')",20
"('video', 'youtube')",5
"('presentation', 'use')",3
"('use', 'would')",3
"('use', 'video')",4
"('video', 'website')",3
"('video', 'would')",9
"('like', 'would')",3
"('go', 'would')",3
"('go', 'video')",6
"('go', 'like')",5
"('awesome', 'explanation')",5
"('interested', 'video')",4
"('amazing', 'explanation')",6
"('amazing', 'thank')",14
"('foreign', 'system')",3
"('ca', 'foreign')",4
"('foreign', 'protein')",4
"('ca', 'system')",13
"('human', 'system')",4
"('immune', 'system')",9
"('body', 'system')",6
"('protein', 'system')",6
"('one', 'system')",7
"('ca', 'human')",5
"('ca', 'immune')",3
"('ca', 'one')",5
"('one', 'use')",3
"('body', 'human')",3
"('human', 'one')",8
"('immune', 'protein')",3
"('helpful', 'sharing')",3
"('crispr', 'help')",9
"('best', 'keep')",3
"('keep', 'work')",4
"('best', 'love')",3
"('good', 'work')",4
"('informative', 'video')",9
"('informative', 'thank')",5
"('finally', 'got')",3
"('got', 'thank')",3
"('life', 'saver')",3
"('life', 'thank')",3
"('exam', 'thank')",10
"('dna', 'really')",8
"('money', 'think')",3
"('good', 'power')",3
"('money', 'used')",3
"('good', 'money')",3
"('could', 'help')",7
"('dna', 'sequence')",5
"('dna', 'remove')",3
"('dna', 'want')",7
"('crispr', 'dna')",19
"('dna', 'specific')",4
"('dna', 'enzyme')",3
"('enzyme', 'sequence')",3
"('gene', 'like')",5
"('gene', 'specific')",4
"('enzyme', 'gene')",4
"('cutting', 'like')",3
"('cutting', 'specific')",3
"('like', 'specific')",4
"('crispr', 'modified')",3
"('crispr', 'want')",3
"('crispr', 'specific')",5
"('crispr', 'go')",5
"('could', 'something')",3
"('could', 'year')",3
"('show', 'year')",3
"('ask', 'something')",3
"('inject', 'virus')",4
"('could', 'human')",3
"('could', 'yet')",3
"('could', 'virus')",4
"('human', 'modified')",3
"('virus', 'yet')",3
"('never', 'understood')",4
"('thanks', 'understood')",5
"('never', 'watched')",3
"('thanks', 'watched')",4
"('thought', 'would')",4
"('end', 'would')",3
"('paul', 'thanks')",7
"('great', 'much')",14
"('could', 'great')",4
"('great', 'job')",15
"('great', 'please')",3
"('great', 'thank')",23
"('could', 'much')",4
"('much', 'one')",6
"('could', 'video')",11
"('could', 'thank')",7
"('could', 'one')",6
"('job', 'video')",6
"('job', 'thank')",3
"('please', 'thank')",4
"('one', 'please')",4
"('one', 'video')",25
"('one', 'thank')",8
"('part', 'plasmid')",3
"('edit', 'gene')",4
"('cell', 'edit')",3
"('dna', 'edit')",5
"('cell', 'strand')",3
"('dna', 'strand')",4
"('part', 'strand')",3
"('gene', 'part')",6
"('cell', 'dna')",17
"('cell', 'part')",4
"('dna', 'part')",9
"('dna', 'put')",3
"('dna', 'scientist')",3
"('dna', 'third')",3
"('part', 'third')",4
"('much', 'understood')",4
"('im', 'understood')",5
"('explanation', 'lot')",4
"('explanation', 'im')",6
"('lot', 'much')",8
"('helped', 'lot')",11
"('lot', 'thank')",10
"('lot', 'video')",20
"('im', 'much')",5
"('like', 'much')",7
"('guy', 'teacher')",3
"('helped', 'im')",3
"('im', 'thank')",15
"('like', 'thank')",8
"('im', 'video')",19
"('ask', 'id')",3
"('everything', 'human')",3
"('everything', 'year')",3
"('dont', 'everything')",3
"('dna', 'even')",4
"('dna', 'dont')",12
"('dna', 'thought')",3
"('dna', 'something')",5
"('dna', 'scale')",3
"('dna', 'people')",5
"('dna', 'level')",3
"('dna', 'happens')",5
"('dna', 'next')",3
"('body', 'dna')",3
"('dna', 'good')",6
"('dna', 'system')",14
"('ask', 'dna')",3
"('dna', 'u')",7
"('even', 'year')",4
"('dont', 'even')",6
"('even', 'thought')",3
"('even', 'people')",5
"('even', 'system')",5
"('crispr', 'even')",4
"('ask', 'even')",3
"('human', 'year')",4
"('china', 'human')",3
"('dont', 'human')",3
"('human', 'thought')",3
"('human', 'something')",4
"('crispr', 'human')",11
"('human', 'individual')",3
"('human', 'u')",3
"('china', 'year')",3
"('people', 'year')",3
"('good', 'year')",4
"('crispr', 'year')",6
"('u', 'year')",3
"('dont', 'idea')",3
"('idea', 'people')",3
"('good', 'idea')",3
"('idea', 'u')",3
"('dont', 'thought')",3
"('dont', 'something')",6
"('dont', 'people')",3
"('dont', 'good')",4
"('dont', 'system')",3
"('crispr', 'dont')",6
"('ask', 'dont')",3
"('dont', 'u')",6
"('people', 'thought')",3
"('crispr', 'thought')",3
"('control', 'thought')",3
"('thought', 'u')",4
"('people', 'something')",3
"('body', 'something')",4
"('good', 'something')",3
"('something', 'system')",3
"('something', 'u')",4
"('crispr', 'well')",5
"('people', 'want')",3
"('good', 'people')",3
"('crispr', 'people')",4
"('people', 'u')",4
"('system', 'want')",3
"('already', 'crispr')",4
"('good', 'system')",7
"('good', 'u')",3
"('ask', 'crispr')",3
"('crispr', 'u')",3
"('super', 'thank')",6
"('amazing', 'great')",4
"('amazing', 'science')",4
"('great', 'science')",7
"('better', 'dna')",3
"('better', 'crispr')",3
"('dna', 'two')",3
"('dna', 'say')",3
"('dna', 'sound')",3
"('actually', 'dna')",5
"('another', 'dna')",5
"('dna', 'expression')",3
"('dna', 'one')",12
"('dna', 'within')",3
"('human', 'term')",3
"('human', 'say')",3
"('human', 'sound')",3
"('human', 'really')",4
"('crispr', 'term')",3
"('really', 'term')",4
"('crispr', 'two')",4
"('two', 'within')",3
"('one', 'say')",3
"('crispr', 'say')",5
"('really', 'say')",4
"('actually', 'one')",3
"('another', 'crispr')",3
"('crispr', 'one')",15
"('one', 'within')",4
"('one', 'really')",10
"('really', 'within')",3
"('great', 'understood')",4
"('time', 'understood')",3
"('really', 'understood')",3
"('great', 'never')",5
"('great', 'time')",3
"('great', 'understand')",8
"('great', 'know')",3
"('feel', 'great')",3
"('great', 'system')",4
"('great', 'im')",8
"('great', 'really')",10
"('never', 'thank')",3
"('never', 'understand')",3
"('couldnt', 'never')",3
"('im', 'never')",3
"('thank', 'time')",9
"('time', 'understand')",7
"('actually', 'time')",3
"('system', 'time')",3
"('im', 'time')",6
"('really', 'time')",6
"('read', 'thank')",4
"('thank', 'understand')",30
"('paper', 'thank')",4
"('something', 'thank')",3
"('know', 'thank')",6
"('actually', 'thank')",4
"('couldnt', 'thank')",3
"('thank', 'write')",3
"('system', 'thank')",8
"('paper', 'read')",4
"('read', 'really')",3
"('something', 'understand')",6
"('know', 'understand')",7
"('actually', 'understand')",3
"('couldnt', 'understand')",3
"('system', 'understand')",5
"('need', 'understand')",5
"('im', 'understand')",13
"('really', 'understand')",10
"('paper', 'system')",3
"('im', 'paper')",3
"('paper', 'really')",3
"('know', 'something')",5
"('actually', 'something')",3
"('need', 'something')",3
"('im', 'something')",3
"('really', 'something')",4
"('know', 'need')",5
"('im', 'know')",6
"('kind', 'know')",4
"('couldnt', 'feel')",3
"('actually', 'im')",5
"('need', 'system')",3
"('im', 'system')",6
"('im', 'need')",4
"('im', 'really')",9
"('kind', 'really')",3
"('high', 'level')",3
"('level', 'video')",4
"('biology', 'molecular')",8
"('high', 'video')",5
"('high', 'school')",8
"('molecular', 'video')",3
"('dont', 'right')",3
"('dont', 'video')",8
"('either', 'video')",5
"('right', 'video')",10
"('school', 'video')",6
"('explaining', 'video')",8
"('experiment', 'gene')",3
"('experiment', 'going')",3
"('gene', 'video')",11
"('paper', 'video')",5
"('using', 'video')",6
