comment,cleaned_comment
Nice Many Thanks,nice many thanks
Cool video! Thanks :),cool video thanks
6:27 can someone explain in more detail how the DNA is added?,someone explain detail dna added
How do u manage to insert a new fragment after the cutting? Is there a particular DNA ligase associated with the CAS complex?,u manage insert new fragment cutting particular dna ligase associated ca complex
Can we just be humane humans...😨😨😨,humane human
speaker talks a little too fast,speaker talk little fast
"Very well explained, I had trouble understanding this topic during lecture. Thx",well explained trouble understanding topic lecture thx
nice,nice
And the recap at the end. Thanks so much! Very helpful,recap end thanks much helpful
4 words - YOU ARE THE BEST	111,word best
Mind-blowing simple demonstration of the crispr cas.... 🔥🔥🔥,mindblowing simple demonstration crispr ca
very helpful! took me a long time to understand what's spacer DNA and what are repeats from only reading.. watching the video really summarized it all. not so simple and not so complicated. just what you really want to know,helpful took long time understand whats spacer dna repeat reading watching video really summarized simple complicated really want know
This is perfect.  THANK YOU!,perfect thank
"The mad scientist really opened Pandor's Box with this one.  Rewriting millions of years of evolution cannot  be good.  This technology should have been top secret.  These individuals were more interested in fame and furtune then the impact it will have on the world 🌎   China is now utilizing this technology.  They recently built concentrations camps, could be bio-laboratories.  Humans are not yet wise enough to wield such power.  We're not going to make it, too many wrong turns.",mad scientist really opened pandors box one rewriting million year evolution good technology top secret individual interested fame furtune impact world china utilizing technology recently built concentration camp could biolaboratories human yet wise enough wield power going make many wrong turn
Awsome Video! Thanks for the effort! Much appreicated and so helpful!,awsome video thanks effort much appreicated helpful
how can I grow taller or cure hair loss from this? I ready to take the risks.,grow taller cure hair loss ready take risk
"Wow soo this is CRISPR...
Makes sense to make a fuss for it cause it really has a potential. 
But if it starts being used to make modified humans like super soliders... woooah it could be devastating",wow soo crispr make sense make fuss cause really potential start used make modified human like super soliders woooah could devastating
Whats this tech used for now?,whats tech used
"CRISPR, another failed miracle cure.",crispr another failed miracle cure
Thank you that was very clarifying!,thank clarifying
Thank you Steve Kerr,thank steve kerr
What a great explanation....excellent lecture🔥🔥,great explanationexcellent lecture
"use it on clostridium difficilewhich really sucks to come down with, that might eliminate fecal trans plants.",use clostridium difficilewhich really suck come might eliminate fecal trans plant
"As far as I know the CRISPR virus causes a fever which has killed a lot of people and is the major risk factor. Immunotherapy has that risk but I hope they are really working to counter that as it a good way to remove genetic diseases from the dna of cells or repair cancerous cells and will be a good tool to help people survive. Until a machine can exist that can program dna externally and destroy cells which is far away, using some kind of qauntum non destructive computer controlled radiation streams.",far know crispr virus cause fever killed lot people major risk factor immunotherapy risk hope really working counter good way remove genetic disease dna cell repair cancerous cell good tool help people survive machine exist program dna externally destroy cell far away using kind qauntum non destructive computer controlled radiation stream
I love your videos!! you should do reviews for MCAT material!,love video review mcat material
"I watched this for my school activity and I have to rewatch it over and over to understand since I'm very slow. But it is TOTALLY HELPFUL, with all the illustrations and the explanations. Thank you!",watched school activity rewatch understand since im slow totally helpful illustration explanation thank
great explanation! I finally understood what CRISPR really is. Now I'm ready to learn more!,great explanation finally understood crispr really im ready learn
