comment,cleaned_comment
"I want a big change I want that it's not a hard choice anymore after watching this ,thanks :) god bless.",want big change want hard choice anymore watching thanks god bless
"If you Still can't tell, just Make a decision and leap in. You can change your mind, as she did. And anyway it's usually necessary to choose Something or losses will accrue or at the least, the choice will be made for you. (I can't make decidions, it seems. That's why I'm here.)",still cant tell make decision leap change mind anyway usually necessary choose something loss accrue least choice made cant make decidions seems thats im
Ruth Chang is brilliant!!,ruth chang brilliant
What about “know thyself”.,know thyself
Am I abnormal if my answer of who I want to be is only be rich successful and have leisure time also??😊,abnormal answer want rich successful leisure time also
This was one of the best choice videos I’ve watched!!! She is incredibly articulate and the message behind what she said is awesome.,one best choice video ive watched incredibly articulate message behind said awesome
DOnUt,donut
Very inspiring thanks,inspiring thanks
"How to decided learning or playing football


I am clever students and I will take national examination next week.
In other hand I am the best goalkeeper 


Pls help how to decided between two choice?😢",decided learning playing football clever student take national examination next week hand best goalkeeper pls help decided two choice
just use wadm (how to make hard decisions objectively.),use wadm make hard decision objectively
falling asleep rn,falling asleep rn
Me gusta.,gusta
Well done 🤞,well done
I loved this Ted Talk.,loved ted talk
Literally one of the best videos out there,literally one best video
"Choose the option that leads to who you wanna become. Your identity should be the determining factor. So the first time is still to discover yourself and understand more about yourself, understand your true self.",choose option lead wan na become identity determining factor first time still discover understand understand true self
Stay ahead of the game with an exclusive interview featuring Binance’s CEO on future developments,stay ahead game exclusive interview featuring binances ceo future development
Exclusive access: interview with Binance CEO for insights into future developments,exclusive access interview binance ceo insight future development
Extremely needed thank you,extremely needed thank
"That deserved a standing ovation for the quality and substance of thought, clarity and delivery.",deserved standing ovation quality substance thought clarity delivery
I hate it that they laugh on everything,hate laugh everything
Watching this video because one month from now I will decide which university should I take. UP or ATENEO? 🤔,watching video one month decide university take ateneo
"What a waste of a talk. I already know thr choice is hard. Help me make the freaking choice, don’t gloat universal knowledge like a profound idea",waste talk already know thr choice hard help make freaking choice dont gloat universal knowledge like profound idea
don't let 'reason' dictate you but create the reason for yourself,dont let reason dictate create reason
